PRESIDENT 2016 State Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,RaceDate,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,20161108,Alabama,9,0,0,"2,123,372","1,318,255","Trump, Donald J. ",Challenger,"729,547","Clinton, Hillary Rodham ",Challenger,Independent,"44,467","Johnson, Gary E. ",Challenger,"31,103","Scattered Write-Ins  (Write-in) 21,712; Stein Jill  (Independent) 9,391","588,708",R,62.08,34.36,2.09,1.46,64.37,35.63,,,
President,20161108,Alaska,3,0,0,"318,608","163,387","Trump, Donald J. ",Challenger,"116,454","Clinton, Hillary Rodham ",Challenger,Independent,"18,725","Johnson, Gary E. ",Challenger,"20,042","Scattered Write-Ins  (Write-in) 9,201; Stein Jill  (Independent) 5,735; De La Fuente Roque  (Independent) 1,240; Castle Darrell  (Independent) 3,866","46,933",R,51.28,36.55,5.88,6.29,58.39,41.61,,,
President,20161108,Arizona,11,0,0,"2,573,165","1,252,401","Trump, Donald J. ",Challenger,"1,161,167","Clinton, Hillary Rodham ",Challenger,Independent,"106,327","Johnson, Gary E. ",Challenger,"53,270","Stein Jill  (Independent) 34,345; De La Fuente Roque  (Independent) 29; Castle Darrell  (Independent) 1,058; McMullin Evan  (Independent) 17,449; Smith Mike  (Independent) 62","91,234",R,48.67,45.13,4.13,2.07,51.89,48.11,,,
President,20161108,Arkansas,6,0,0,"1,130,676","684,872","Trump, Donald J. ",Challenger,"380,494","Clinton, Hillary Rodham ",Challenger,Independent,"29,949","Johnson, Gary E. ",Challenger,"35,361","Stein Jill  (Independent) 9,473; Castle Darrell  (Independent) 4,613; McMullin Evan  (Independent) 13,176","304,378",R,60.57,33.65,2.65,3.13,64.29,35.71,,,
President,20161108,California,0,55,0,"14,181,595","4,483,810","Trump, Donald J. ",Challenger,"8,753,788","Clinton, Hillary Rodham ",Challenger,Independent,"478,500","Johnson, Gary E. ",Challenger,"465,497","Sanders Bernard  (Write-in) 79,341; Stein Jill  (Independent) 278,657; La Riva Gloria  (Write-in) 66,101; McMullin Evan  (Independent) 39,596","4,269,978",D,31.62,61.73,3.37,3.28,33.87,66.13,,,
President,20161108,Colorado,0,9,0,"2,780,247","1,202,484","Trump, Donald J. ",Challenger,"1,338,870","Clinton, Hillary Rodham ",Challenger,Independent,"144,121","Johnson, Gary E. ",Challenger,"94,772","Stein Jill  (Independent) 38,437; La Riva Gloria  (Write-in) 531; De La Fuente Roque  (Independent) 1,255; Castle Darrell  (Independent) 11,699; McMullin Evan  (Independent) 28,917; Smith Mike  (Independent) 1,819; Kennedy Alyson  (Independent) 452","136,386",D,43.25,48.16,5.18,3.41,47.32,52.68,,,
President,20161108,Connecticut,0,7,0,"1,644,920","673,215","Trump, Donald J. ",Challenger,"897,572","Clinton, Hillary Rodham ",Challenger,Independent,"48,676","Johnson, Gary E. ",Challenger,"25,457","Scattered Write-Ins  (Write-in) 508; Stein Jill  (Independent) 22,841; McMullin Evan  (Independent) 2,108","224,357",D,40.93,54.57,2.96,1.55,42.86,57.14,,,
President,20161108,Delaware,0,3,0,"443,814","185,127","Trump, Donald J. ",Challenger,"235,603","Clinton, Hillary Rodham ",Challenger,Independent,"14,757","Johnson, Gary E. ",Challenger,"8,327","Scattered Write-Ins  (Write-in) 1,518; Stein Jill  (Independent) 6,103; McMullin Evan  (Independent) 706","50,476",D,41.71,53.09,3.33,1.88,44.00,56.00,,,
President,20161108,District of Columbia,0,3,0,"311,268","12,723","Trump, Donald J. ",Challenger,"282,830","Clinton, Hillary Rodham ",Challenger,Independent,"4,906","Johnson, Gary E. ",Challenger,"10,809","Scattered Write-Ins  (Write-in) 6,551; Stein Jill  (Independent) 4,258","270,107",D,4.09,90.86,1.58,3.47,4.30,95.70,,,
President,20161108,Florida,29,0,0,"9,420,039","4,617,886","Trump, Donald J. ",Challenger,"4,504,975","Clinton, Hillary Rodham ",Challenger,Independent,"207,043","Johnson, Gary E. ",Challenger,"90,135","Stein Jill  (Independent) 64,399; Duncan Richard  (Write-in) 25; De La Fuente Roque  (Independent) 9,108; Castle Darrell  (Independent) 16,475","112,911",R,49.02,47.82,2.20,0.96,50.62,49.38,,,
